Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 12:35:41,04-07-2024 12:37:41,1m - 59.154s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:35:45,04-07-2024 12:36:28,42.727s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:35:48,04-07-2024 12:36:05,17.458s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:36:05,04-07-2024 12:36:08,2.264s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:36:08,04-07-2024 12:36:14,6.635s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:36:14,04-07-2024 12:36:28,13.614s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:36:28,04-07-2024 12:36:42,14.048s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:36:29,04-07-2024 12:36:33,4.772s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:36:33,04-07-2024 12:36:38,4.947s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:36:38,04-07-2024 12:36:39,1.110s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:36:39,04-07-2024 12:36:42,2.817s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:36:42,04-07-2024 12:36:59,17.021s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:36:43,04-07-2024 12:36:46,3.515s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:36:46,04-07-2024 12:36:53,6.456s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:36:53,04-07-2024 12:36:54,1.227s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:36:54,04-07-2024 12:36:59,5.552s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:36:59,04-07-2024 12:37:09,9.222s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:37:00,04-07-2024 12:37:02,2.083s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:37:02,04-07-2024 12:37:03,1.544s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:37:03,04-07-2024 12:37:06,2.440s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:37:06,04-07-2024 12:37:09,2.893s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:37:09,04-07-2024 12:37:23,14.633s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:37:09,04-07-2024 12:37:10,1.445s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:37:10,04-07-2024 12:37:15,4.850s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:37:15,04-07-2024 12:37:16,0.969s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:37:16,04-07-2024 12:37:23,7.184s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:37:23,04-07-2024 12:37:41,17.315s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:37:23,04-07-2024 12:37:25,1.659s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:37:25,04-07-2024 12:37:30,4.683s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:37:30,04-07-2024 12:37:33,3.119s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:37:33,04-07-2024 12:37:41,7.673s,PASSED
