Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkpoint,Chrome 125.0.0.0,,,28-05-2024 22:57:14,28-05-2024 23:02:18,5m - 4.305s,PASSED
,,,,,,,
Test Cases/ac/checkpoint 2,Chrome 125.0.0.0,,,28-05-2024 22:57:15,28-05-2024 23:02:18,5m - 2.948s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 22:57:18,28-05-2024 22:57:46,27.969s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 125.0.0.0,,,28-05-2024 22:57:46,28-05-2024 22:58:49,1m - 3.569s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 125.0.0.0,,,28-05-2024 22:58:49,28-05-2024 23:00:03,1m - 13.543s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 125.0.0.0,,,28-05-2024 23:00:03,28-05-2024 23:00:08,4.655s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 125.0.0.0,,,28-05-2024 23:00:08,28-05-2024 23:00:14,5.868s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 125.0.0.0,,,28-05-2024 23:00:14,28-05-2024 23:00:22,7.962s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 125.0.0.0,,,28-05-2024 23:00:22,28-05-2024 23:00:25,3.027s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 125.0.0.0,,,28-05-2024 23:00:25,28-05-2024 23:00:27,2.449s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 125.0.0.0,,,28-05-2024 23:00:27,28-05-2024 23:00:33,6.183s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 125.0.0.0,,,28-05-2024 23:00:33,28-05-2024 23:00:36,2.935s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 125.0.0.0,,,28-05-2024 23:00:36,28-05-2024 23:00:43,7.097s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 125.0.0.0,,,28-05-2024 23:00:43,28-05-2024 23:00:55,11.633s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 125.0.0.0,,,28-05-2024 23:00:55,28-05-2024 23:01:00,5.070s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 125.0.0.0,,,28-05-2024 23:01:00,28-05-2024 23:01:01,1.396s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 125.0.0.0,,,28-05-2024 23:01:01,28-05-2024 23:01:07,5.765s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 125.0.0.0,,,28-05-2024 23:01:07,28-05-2024 23:01:12,5.063s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 125.0.0.0,,,28-05-2024 23:01:12,28-05-2024 23:01:14,2.224s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,28-05-2024 23:01:14,28-05-2024 23:01:17,3.034s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 125.0.0.0,,,28-05-2024 23:01:17,28-05-2024 23:01:19,1.433s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,28-05-2024 23:01:19,28-05-2024 23:01:21,1.668s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 23:01:21,28-05-2024 23:02:18,57.290s,PASSED
