Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deskstop,,,,19-06-2024 22:32:14,19-06-2024 22:43:45,11m - 31.761s,PASSED
,,,,,,,
Test Cases/destops,,,,19-06-2024 22:43:18,19-06-2024 22:43:45,27.026s,PASSED
"startApplicationWithTitle(""C:\Windows\notepad.exe"", ""credentials - Notepad"")",,,,19-06-2024 22:43:18,19-06-2024 22:43:23,4.903s,PASSED
"click(findWindowsObject(""Object Repository/Button""))",,,,19-06-2024 22:43:23,19-06-2024 22:43:28,4.668s,PASSED
"click(findWindowsObject(""Object Repository/Document""))",,,,19-06-2024 22:43:28,19-06-2024 22:43:34,6.199s,PASSED
"setText(findWindowsObject(""Object Repository/Document""), ""asc"")",,,,19-06-2024 22:43:34,19-06-2024 22:43:42,8.224s,PASSED
"click(findWindowsObject(""Object Repository/Window""))",,,,19-06-2024 22:43:42,19-06-2024 22:43:45,2.900s,PASSED
