Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 22:17:19,04-07-2024 22:19:41,2m - 21.138s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:17:23,04-07-2024 22:17:52,29.287s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:17:26,04-07-2024 22:17:39,12.937s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:17:39,04-07-2024 22:17:39,0.131s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:17:39,04-07-2024 22:17:45,5.580s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:17:45,04-07-2024 22:17:52,7.065s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:17:53,04-07-2024 22:18:13,19.526s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:17:54,04-07-2024 22:17:58,3.752s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:17:58,04-07-2024 22:17:58,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:17:58,04-07-2024 22:18:03,5.390s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:18:03,04-07-2024 22:18:13,9.833s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:18:13,04-07-2024 22:18:43,29.934s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:18:13,04-07-2024 22:18:16,2.478s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:18:16,04-07-2024 22:18:16,0.003s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:18:16,04-07-2024 22:18:22,5.647s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:18:22,04-07-2024 22:18:43,21.671s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:18:43,04-07-2024 22:19:05,21.291s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:18:43,04-07-2024 22:18:50,6.724s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:18:50,04-07-2024 22:18:50,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:18:50,04-07-2024 22:18:54,3.325s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:18:54,04-07-2024 22:19:05,11.182s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:19:05,04-07-2024 22:19:23,17.708s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:19:05,04-07-2024 22:19:08,2.972s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:19:08,04-07-2024 22:19:08,0.002s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:19:08,04-07-2024 22:19:14,5.750s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:19:14,04-07-2024 22:19:23,8.931s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:19:23,04-07-2024 22:19:41,17.489s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:19:23,04-07-2024 22:19:27,3.700s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:19:27,04-07-2024 22:19:27,0.002s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:19:27,04-07-2024 22:19:33,6.209s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:19:33,04-07-2024 22:19:41,7.534s,PASSED
