Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkpoint,Chrome 126.0.0.0,,,27-06-2024 19:51:12,27-06-2024 19:54:37,3m - 24.610s,PASSED
,,,,,,,
Test Cases/ac/checkpoint 2,Chrome 126.0.0.0,,,27-06-2024 19:51:15,27-06-2024 19:54:37,3m - 22.530s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 19:51:17,27-06-2024 19:51:38,20.404s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 126.0.0.0,,,27-06-2024 19:51:38,27-06-2024 19:54:21,2m - 43.070s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 126.0.0.0,,,27-06-2024 19:54:21,27-06-2024 19:54:22,1.184s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 126.0.0.0,,,27-06-2024 19:54:22,27-06-2024 19:54:24,2.314s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 126.0.0.0,,,27-06-2024 19:54:24,27-06-2024 19:54:25,1.129s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 126.0.0.0,,,27-06-2024 19:54:25,27-06-2024 19:54:27,1.316s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 126.0.0.0,,,27-06-2024 19:54:27,27-06-2024 19:54:27,0.719s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 126.0.0.0,,,27-06-2024 19:54:27,27-06-2024 19:54:28,0.654s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 126.0.0.0,,,27-06-2024 19:54:28,27-06-2024 19:54:29,0.714s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 126.0.0.0,,,27-06-2024 19:54:29,27-06-2024 19:54:29,0.737s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 126.0.0.0,,,27-06-2024 19:54:29,27-06-2024 19:54:30,0.668s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 126.0.0.0,,,27-06-2024 19:54:30,27-06-2024 19:54:31,0.619s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 126.0.0.0,,,27-06-2024 19:54:31,27-06-2024 19:54:31,0.660s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 126.0.0.0,,,27-06-2024 19:54:31,27-06-2024 19:54:32,0.671s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 126.0.0.0,,,27-06-2024 19:54:32,27-06-2024 19:54:33,0.628s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 126.0.0.0,,,27-06-2024 19:54:33,27-06-2024 19:54:33,0.665s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 126.0.0.0,,,27-06-2024 19:54:33,27-06-2024 19:54:34,0.621s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,27-06-2024 19:54:34,27-06-2024 19:54:35,0.637s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 126.0.0.0,,,27-06-2024 19:54:35,27-06-2024 19:54:35,0.660s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,27-06-2024 19:54:35,27-06-2024 19:54:36,1.180s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,27-06-2024 19:54:36,27-06-2024 19:54:37,0.663s,PASSED
