Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkpoint,Chrome 126.0.0.0,,,19-06-2024 22:33:56,19-06-2024 22:39:12,5m - 16.215s,PASSED
,,,,,,,
Test Cases/ac/checkpoint 2,Chrome 126.0.0.0,,,19-06-2024 22:34:01,19-06-2024 22:39:12,5m - 10.838s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,19-06-2024 22:34:07,19-06-2024 22:35:09,1m - 1.610s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 126.0.0.0,,,19-06-2024 22:35:09,19-06-2024 22:35:11,2.306s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 126.0.0.0,,,19-06-2024 22:35:11,19-06-2024 22:36:32,1m - 21.473s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 126.0.0.0,,,19-06-2024 22:36:32,19-06-2024 22:36:39,6.946s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 126.0.0.0,,,19-06-2024 22:36:39,19-06-2024 22:36:58,18.903s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 126.0.0.0,,,19-06-2024 22:36:58,19-06-2024 22:37:06,7.325s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 126.0.0.0,,,19-06-2024 22:37:06,19-06-2024 22:37:13,7.525s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 126.0.0.0,,,19-06-2024 22:37:13,19-06-2024 22:37:16,2.664s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 126.0.0.0,,,19-06-2024 22:37:16,19-06-2024 22:37:21,5.138s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 126.0.0.0,,,19-06-2024 22:37:21,19-06-2024 22:37:31,9.778s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 126.0.0.0,,,19-06-2024 22:37:31,19-06-2024 22:37:34,3.776s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 126.0.0.0,,,19-06-2024 22:37:34,19-06-2024 22:37:38,3.593s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 126.0.0.0,,,19-06-2024 22:37:38,19-06-2024 22:37:43,4.577s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 126.0.0.0,,,19-06-2024 22:37:43,19-06-2024 22:37:45,2.690s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 126.0.0.0,,,19-06-2024 22:37:45,19-06-2024 22:37:48,2.662s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 126.0.0.0,,,19-06-2024 22:37:48,19-06-2024 22:37:53,5.015s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 126.0.0.0,,,19-06-2024 22:37:53,19-06-2024 22:38:01,7.721s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,19-06-2024 22:38:01,19-06-2024 22:38:05,3.927s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 126.0.0.0,,,19-06-2024 22:38:05,19-06-2024 22:38:07,2.339s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 126.0.0.0,,,19-06-2024 22:38:07,19-06-2024 22:38:10,3.179s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,19-06-2024 22:38:10,19-06-2024 22:39:12,1m - 1.732s,PASSED
