Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkpoint,Chrome 125.0.0.0,,,26-05-2024 17:30:23,26-05-2024 17:31:31,1m - 7.953s,PASSED
,,,,,,,
Test Cases/ac/checkpoint 2,Chrome 125.0.0.0,,,26-05-2024 17:30:26,26-05-2024 17:31:31,1m - 5.308s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,26-05-2024 17:30:27,26-05-2024 17:30:36,9.126s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 125.0.0.0,,,26-05-2024 17:30:36,26-05-2024 17:30:59,22.166s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 125.0.0.0,,,26-05-2024 17:30:59,26-05-2024 17:31:05,6.158s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 125.0.0.0,,,26-05-2024 17:31:05,26-05-2024 17:31:07,1.806s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 125.0.0.0,,,26-05-2024 17:31:07,26-05-2024 17:31:09,2.457s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 125.0.0.0,,,26-05-2024 17:31:09,26-05-2024 17:31:11,1.889s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 125.0.0.0,,,26-05-2024 17:31:11,26-05-2024 17:31:12,1.344s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 125.0.0.0,,,26-05-2024 17:31:12,26-05-2024 17:31:14,1.233s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 125.0.0.0,,,26-05-2024 17:31:14,26-05-2024 17:31:15,1.537s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 125.0.0.0,,,26-05-2024 17:31:15,26-05-2024 17:31:16,1.402s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 125.0.0.0,,,26-05-2024 17:31:16,26-05-2024 17:31:18,1.295s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 125.0.0.0,,,26-05-2024 17:31:18,26-05-2024 17:31:19,1.188s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 125.0.0.0,,,26-05-2024 17:31:19,26-05-2024 17:31:20,1.246s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 125.0.0.0,,,26-05-2024 17:31:20,26-05-2024 17:31:22,1.329s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 125.0.0.0,,,26-05-2024 17:31:22,26-05-2024 17:31:23,1.187s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 125.0.0.0,,,26-05-2024 17:31:23,26-05-2024 17:31:24,1.657s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 125.0.0.0,,,26-05-2024 17:31:24,26-05-2024 17:31:27,2.142s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,26-05-2024 17:31:27,26-05-2024 17:31:28,1.193s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 125.0.0.0,,,26-05-2024 17:31:28,26-05-2024 17:31:29,0.948s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,26-05-2024 17:31:29,26-05-2024 17:31:30,1.501s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,26-05-2024 17:31:30,26-05-2024 17:31:31,0.875s,PASSED
