Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 18:28:22,04-07-2024 18:31:39,3m - 16.867s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:28:23,04-07-2024 18:28:50,26.469s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:28:25,04-07-2024 18:28:29,4.072s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:28:29,04-07-2024 18:28:35,6.537s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:28:35,04-07-2024 18:28:38,3.221s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:28:38,04-07-2024 18:28:50,11.171s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:28:50,04-07-2024 18:29:26,36.385s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:28:51,04-07-2024 18:28:54,3.490s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:28:54,04-07-2024 18:29:01,6.620s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:29:01,04-07-2024 18:29:04,3.253s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:29:04,04-07-2024 18:29:26,22.021s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:29:26,04-07-2024 18:29:53,26.872s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:29:27,04-07-2024 18:29:34,7.302s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:29:34,04-07-2024 18:29:42,8.095s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:29:42,04-07-2024 18:29:47,4.588s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:29:47,04-07-2024 18:29:53,6.122s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:29:53,04-07-2024 18:31:05,1m - 11.968s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:29:54,04-07-2024 18:29:56,1.851s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:29:56,04-07-2024 18:30:02,6.447s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:30:02,04-07-2024 18:30:04,1.592s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:30:04,04-07-2024 18:31:05,1m - 1.456s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:31:05,04-07-2024 18:31:26,20.321s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:31:06,04-07-2024 18:31:10,4.776s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:31:10,04-07-2024 18:31:18,7.231s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:31:18,04-07-2024 18:31:21,3.222s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:31:21,04-07-2024 18:31:25,4.565s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 18:31:26,04-07-2024 18:31:39,13.526s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 18:31:26,04-07-2024 18:31:28,2.308s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 18:31:28,04-07-2024 18:31:32,3.509s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 18:31:32,04-07-2024 18:31:35,3.386s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 18:31:35,04-07-2024 18:31:39,3.999s,PASSED
