Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 22:05:10,04-07-2024 22:06:04,53.706s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:05:11,04-07-2024 22:05:26,14.463s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:05:12,04-07-2024 22:05:19,6.403s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:05:19,04-07-2024 22:05:19,0.492s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:05:19,04-07-2024 22:05:25,6.144s,PASSED
"setText(findTestObject(null), """")",Chrome 126.0.0.0,,,04-07-2024 22:05:25,04-07-2024 22:05:26,0.357s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:05:26,04-07-2024 22:05:34,7.814s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:05:26,04-07-2024 22:05:27,1.661s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:05:27,04-07-2024 22:05:27,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:05:27,04-07-2024 22:05:33,5.829s,PASSED
"setText(findTestObject(null), """")",Chrome 126.0.0.0,,,04-07-2024 22:05:33,04-07-2024 22:05:34,0.264s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:05:34,04-07-2024 22:05:41,7.190s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:05:34,04-07-2024 22:05:35,1.623s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:05:35,04-07-2024 22:05:35,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:05:35,04-07-2024 22:05:41,5.341s,PASSED
"setText(findTestObject(null), """")",Chrome 126.0.0.0,,,04-07-2024 22:05:41,04-07-2024 22:05:41,0.170s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:05:41,04-07-2024 22:05:48,7.283s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:05:41,04-07-2024 22:05:43,1.526s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:05:43,04-07-2024 22:05:43,0.002s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:05:43,04-07-2024 22:05:48,5.530s,PASSED
"setText(findTestObject(null), """")",Chrome 126.0.0.0,,,04-07-2024 22:05:48,04-07-2024 22:05:48,0.182s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:05:49,04-07-2024 22:05:57,7.956s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:05:49,04-07-2024 22:05:51,2.142s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:05:51,04-07-2024 22:05:51,0.000s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:05:51,04-07-2024 22:05:56,5.605s,PASSED
"setText(findTestObject(null), """")",Chrome 126.0.0.0,,,04-07-2024 22:05:56,04-07-2024 22:05:57,0.169s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:05:57,04-07-2024 22:06:04,7.508s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:05:57,04-07-2024 22:05:58,1.574s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:05:58,04-07-2024 22:05:58,0.002s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:05:58,04-07-2024 22:06:04,5.718s,PASSED
"setText(findTestObject(null), """")",Chrome 126.0.0.0,,,04-07-2024 22:06:04,04-07-2024 22:06:04,0.181s,FAILED
