Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkpoint,Chrome 125.0.0.0,,,28-05-2024 22:56:07,28-05-2024 23:00:41,4m - 34.417s,PASSED
,,,,,,,
Test Cases/ac/checkpoint 2,Chrome 125.0.0.0,,,28-05-2024 22:56:09,28-05-2024 23:00:41,4m - 32.648s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 22:56:13,28-05-2024 22:56:37,23.482s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 125.0.0.0,,,28-05-2024 22:56:37,28-05-2024 22:58:00,1m - 23.005s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 125.0.0.0,,,28-05-2024 22:58:00,28-05-2024 22:58:05,5.250s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 125.0.0.0,,,28-05-2024 22:58:05,28-05-2024 22:58:09,4.461s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 125.0.0.0,,,28-05-2024 22:58:09,28-05-2024 22:58:19,9.469s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 125.0.0.0,,,28-05-2024 22:58:19,28-05-2024 22:58:33,14.029s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 125.0.0.0,,,28-05-2024 22:58:33,28-05-2024 22:58:37,4.329s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 125.0.0.0,,,28-05-2024 22:58:37,28-05-2024 22:58:41,3.703s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 125.0.0.0,,,28-05-2024 22:58:41,28-05-2024 22:58:45,4.327s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 125.0.0.0,,,28-05-2024 22:58:45,28-05-2024 22:58:50,4.747s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 125.0.0.0,,,28-05-2024 22:58:50,28-05-2024 22:58:52,2.398s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 125.0.0.0,,,28-05-2024 22:58:52,28-05-2024 22:58:56,3.865s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 125.0.0.0,,,28-05-2024 22:58:56,28-05-2024 22:58:59,2.572s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 125.0.0.0,,,28-05-2024 22:58:59,28-05-2024 22:59:04,5.390s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 125.0.0.0,,,28-05-2024 22:59:04,28-05-2024 22:59:08,4.049s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 125.0.0.0,,,28-05-2024 22:59:08,28-05-2024 22:59:14,5.857s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 125.0.0.0,,,28-05-2024 22:59:14,28-05-2024 22:59:19,4.593s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,28-05-2024 22:59:19,28-05-2024 22:59:26,7.291s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 125.0.0.0,,,28-05-2024 22:59:26,28-05-2024 22:59:31,4.886s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,28-05-2024 22:59:31,28-05-2024 22:59:39,7.588s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 22:59:39,28-05-2024 23:00:41,1m - 2.723s,PASSED
