Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
thang1,Chrome 126.0.0.0,,,02-07-2024 23:07:02,02-07-2024 23:10:01,2m - 59.787s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:07:04,02-07-2024 23:08:17,1m - 12.896s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:07:07,02-07-2024 23:07:35,28.770s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:07:35,02-07-2024 23:07:47,11.818s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:07:47,02-07-2024 23:07:51,3.575s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:07:51,02-07-2024 23:08:17,25.949s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:08:17,02-07-2024 23:08:40,23.826s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:08:17,02-07-2024 23:08:19,2.004s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:08:19,02-07-2024 23:08:23,3.790s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:08:23,02-07-2024 23:08:26,3.035s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:08:26,02-07-2024 23:08:40,14.907s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:08:40,02-07-2024 23:09:08,27.412s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:08:41,02-07-2024 23:08:44,3.620s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:08:44,02-07-2024 23:08:51,6.825s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:08:51,02-07-2024 23:08:53,2.273s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:08:53,02-07-2024 23:09:08,14.638s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:09:08,02-07-2024 23:09:38,30.422s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:09:08,02-07-2024 23:09:11,3.024s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:09:11,02-07-2024 23:09:16,5.292s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:09:16,02-07-2024 23:09:17,1.071s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:09:17,02-07-2024 23:09:38,20.913s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:09:38,02-07-2024 23:10:01,22.974s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:09:39,02-07-2024 23:09:42,3.849s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:09:42,02-07-2024 23:09:49,6.911s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:09:49,02-07-2024 23:09:54,4.384s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:09:54,02-07-2024 23:10:01,7.696s,PASSED
