Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
thang1,Chrome 126.0.0.0,,,02-07-2024 23:07:34,02-07-2024 23:09:49,2m - 15.081s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:07:39,02-07-2024 23:08:18,39.581s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:07:43,02-07-2024 23:08:04,21.144s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:08:04,02-07-2024 23:08:08,3.800s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:08:08,02-07-2024 23:08:15,6.575s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:08:15,02-07-2024 23:08:18,3.494s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:08:18,02-07-2024 23:08:43,25.077s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:08:19,02-07-2024 23:08:20,1.695s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:08:20,02-07-2024 23:08:26,5.538s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:08:26,02-07-2024 23:08:30,3.836s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:08:30,02-07-2024 23:08:43,13.705s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:08:44,02-07-2024 23:08:57,13.062s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:08:44,02-07-2024 23:08:47,3.108s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:08:47,02-07-2024 23:08:51,3.829s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:08:51,02-07-2024 23:08:54,3.442s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:08:54,02-07-2024 23:08:57,2.516s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:08:57,02-07-2024 23:09:23,26.646s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:08:57,02-07-2024 23:08:59,1.827s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:08:59,02-07-2024 23:09:05,6.058s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:09:05,02-07-2024 23:09:08,3.090s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:09:08,02-07-2024 23:09:23,15.532s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,02-07-2024 23:09:23,02-07-2024 23:09:49,25.750s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 23:09:23,02-07-2024 23:09:25,1.647s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,02-07-2024 23:09:25,02-07-2024 23:09:32,6.687s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,02-07-2024 23:09:32,02-07-2024 23:09:33,1.353s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,02-07-2024 23:09:33,02-07-2024 23:09:49,16.009s,PASSED
