Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 12:32:52,04-07-2024 12:34:21,1m - 28.975s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:32:59,04-07-2024 12:33:38,38.920s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:33:00,04-07-2024 12:33:21,20.945s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:33:21,04-07-2024 12:33:25,3.981s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:33:25,04-07-2024 12:33:37,11.701s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:33:37,04-07-2024 12:33:38,0.625s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:33:38,04-07-2024 12:33:48,10.004s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:33:38,04-07-2024 12:33:40,1.802s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:33:40,04-07-2024 12:33:47,7.091s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:33:47,04-07-2024 12:33:48,0.818s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:33:48,04-07-2024 12:33:48,0.245s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:33:48,04-07-2024 12:33:57,9.306s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:33:48,04-07-2024 12:33:49,1.378s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:33:49,04-07-2024 12:33:56,6.863s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:33:56,04-07-2024 12:33:57,0.748s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:33:57,04-07-2024 12:33:57,0.278s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:33:57,04-07-2024 12:34:08,10.599s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:33:57,04-07-2024 12:33:59,1.402s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:33:59,04-07-2024 12:34:05,6.536s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:34:05,04-07-2024 12:34:07,1.665s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:34:07,04-07-2024 12:34:08,0.954s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:34:08,04-07-2024 12:34:14,6.254s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:34:08,04-07-2024 12:34:09,1.179s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:34:09,04-07-2024 12:34:13,3.405s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:34:13,04-07-2024 12:34:14,1.353s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:34:14,04-07-2024 12:34:14,0.271s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:34:14,04-07-2024 12:34:21,6.959s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:34:14,04-07-2024 12:34:15,1.222s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:34:15,04-07-2024 12:34:20,4.107s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:34:20,04-07-2024 12:34:21,1.106s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:34:21,04-07-2024 12:34:21,0.491s,PASSED
