Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
thang1,Chrome 126.0.0.0,,,03-07-2024 00:24:16,03-07-2024 00:27:44,3m - 27.519s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,03-07-2024 00:24:18,03-07-2024 00:25:56,1m - 37.902s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,03-07-2024 00:24:21,03-07-2024 00:24:43,21.978s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,03-07-2024 00:24:43,03-07-2024 00:24:50,6.946s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,03-07-2024 00:24:50,03-07-2024 00:24:54,4.806s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,03-07-2024 00:24:54,03-07-2024 00:25:56,1m - 1.526s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,03-07-2024 00:25:56,03-07-2024 00:26:36,39.553s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,03-07-2024 00:25:56,03-07-2024 00:26:05,8.311s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,03-07-2024 00:26:05,03-07-2024 00:26:12,7.848s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,03-07-2024 00:26:12,03-07-2024 00:26:15,2.504s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,03-07-2024 00:26:15,03-07-2024 00:26:35,20.514s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,03-07-2024 00:26:36,03-07-2024 00:27:07,31.930s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,03-07-2024 00:26:36,03-07-2024 00:26:49,12.786s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,03-07-2024 00:26:49,03-07-2024 00:26:53,4.308s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,03-07-2024 00:26:53,03-07-2024 00:26:55,2.139s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,03-07-2024 00:26:55,03-07-2024 00:27:07,12.509s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,03-07-2024 00:27:07,03-07-2024 00:27:30,22.330s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,03-07-2024 00:27:08,03-07-2024 00:27:10,2.744s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,03-07-2024 00:27:10,03-07-2024 00:27:17,6.312s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,03-07-2024 00:27:17,03-07-2024 00:27:18,1.229s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,03-07-2024 00:27:18,03-07-2024 00:27:30,11.973s,PASSED
,,,,,,,
Test Cases/thang/New Test Case (8),Chrome 126.0.0.0,,,03-07-2024 00:27:30,03-07-2024 00:27:44,13.865s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,03-07-2024 00:27:30,03-07-2024 00:27:32,2.616s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,03-07-2024 00:27:32,03-07-2024 00:27:39,6.806s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,03-07-2024 00:27:39,03-07-2024 00:27:40,1.155s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,03-07-2024 00:27:40,03-07-2024 00:27:44,3.240s,PASSED
