Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 22:20:39,04-07-2024 22:22:17,1m - 38.041s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:20:41,04-07-2024 22:20:56,15.349s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:20:43,04-07-2024 22:20:49,6.277s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:20:49,04-07-2024 22:20:49,0.099s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:20:49,04-07-2024 22:20:55,6.167s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:20:55,04-07-2024 22:20:56,0.878s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:20:57,04-07-2024 22:21:17,19.466s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:20:57,04-07-2024 22:21:03,5.809s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:21:03,04-07-2024 22:21:03,0.003s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:21:03,04-07-2024 22:21:10,7.266s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:21:10,04-07-2024 22:21:17,6.254s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:21:17,04-07-2024 22:21:44,26.828s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:21:17,04-07-2024 22:21:19,1.847s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:21:19,04-07-2024 22:21:19,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:21:19,04-07-2024 22:21:28,9.161s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:21:28,04-07-2024 22:21:44,15.747s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:21:44,04-07-2024 22:21:53,9.231s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:21:44,04-07-2024 22:21:47,2.904s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:21:47,04-07-2024 22:21:47,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:21:47,04-07-2024 22:21:52,5.515s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:21:52,04-07-2024 22:21:53,0.760s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:21:54,04-07-2024 22:22:03,9.312s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:21:54,04-07-2024 22:21:57,3.040s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:21:57,04-07-2024 22:21:57,0.002s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:21:57,04-07-2024 22:22:02,5.440s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:22:02,04-07-2024 22:22:03,0.770s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:22:03,04-07-2024 22:22:17,14.172s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:22:03,04-07-2024 22:22:10,6.265s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:22:10,04-07-2024 22:22:10,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:22:10,04-07-2024 22:22:15,5.643s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:22:15,04-07-2024 22:22:17,2.221s,PASSED
