Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkpoint,Chrome 125.0.0.0,,,28-05-2024 23:17:34,28-05-2024 23:21:36,4m - 2.371s,PASSED
,,,,,,,
Test Cases/ac/checkpoint 2,Chrome 125.0.0.0,,,28-05-2024 23:17:36,28-05-2024 23:21:36,4m - 0.104s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 23:17:40,28-05-2024 23:18:00,20.468s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 125.0.0.0,,,28-05-2024 23:18:00,28-05-2024 23:19:07,1m - 6.247s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 125.0.0.0,,,28-05-2024 23:19:07,28-05-2024 23:19:18,11.024s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 125.0.0.0,,,28-05-2024 23:19:18,28-05-2024 23:19:26,8.161s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 125.0.0.0,,,28-05-2024 23:19:26,28-05-2024 23:19:30,4.378s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 125.0.0.0,,,28-05-2024 23:19:30,28-05-2024 23:19:35,5.027s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 125.0.0.0,,,28-05-2024 23:19:35,28-05-2024 23:19:41,5.356s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 125.0.0.0,,,28-05-2024 23:19:41,28-05-2024 23:19:48,7.700s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 125.0.0.0,,,28-05-2024 23:19:48,28-05-2024 23:19:52,3.256s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 125.0.0.0,,,28-05-2024 23:19:52,28-05-2024 23:19:59,7.153s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 125.0.0.0,,,28-05-2024 23:19:59,28-05-2024 23:20:01,2.395s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 125.0.0.0,,,28-05-2024 23:20:01,28-05-2024 23:20:06,5.057s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 125.0.0.0,,,28-05-2024 23:20:06,28-05-2024 23:20:09,2.791s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 125.0.0.0,,,28-05-2024 23:20:09,28-05-2024 23:20:14,5.200s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 125.0.0.0,,,28-05-2024 23:20:14,28-05-2024 23:20:22,7.998s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 125.0.0.0,,,28-05-2024 23:20:22,28-05-2024 23:20:24,2.144s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 125.0.0.0,,,28-05-2024 23:20:24,28-05-2024 23:20:27,2.990s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,28-05-2024 23:20:27,28-05-2024 23:20:29,1.818s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 125.0.0.0,,,28-05-2024 23:20:29,28-05-2024 23:20:32,2.829s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,28-05-2024 23:20:32,28-05-2024 23:20:35,2.754s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 23:20:35,28-05-2024 23:21:36,1m - 1.280s,PASSED
