Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api,,,,19-06-2024 22:23:10,19-06-2024 22:23:26,16.248s,PASSED
,,,,,,,
Test Cases/ad,,,,19-06-2024 22:23:12,19-06-2024 22:23:19,7.627s,PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,19-06-2024 22:23:13,19-06-2024 22:23:19,5.838s,PASSED
,,,,,,,
Test Cases/api,,,,19-06-2024 22:23:19,19-06-2024 22:23:22,2.958s,PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,19-06-2024 22:23:19,19-06-2024 22:23:22,2.852s,PASSED
,,,,,,,
Test Cases/New Test Case (2),,,,19-06-2024 22:23:22,19-06-2024 22:23:26,4.183s,PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,19-06-2024 22:23:22,19-06-2024 22:23:26,4.159s,PASSED
