Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deskstop,,,,28-05-2024 21:00:47,28-05-2024 21:00:56,9.069s,PASSED
,,,,,,,
Test Cases/destops,,,,28-05-2024 21:00:47,28-05-2024 21:00:56,8.543s,PASSED
"startApplicationWithTitle(""C:\Windows\notepad.exe"", ""credentials - Notepad"")",,,,28-05-2024 21:00:48,28-05-2024 21:00:51,2.589s,PASSED
"click(findWindowsObject(""Object Repository/Button""))",,,,28-05-2024 21:00:51,28-05-2024 21:00:52,1.072s,PASSED
"click(findWindowsObject(""Object Repository/Document""))",,,,28-05-2024 21:00:52,28-05-2024 21:00:53,0.922s,PASSED
"setText(findWindowsObject(""Object Repository/Document""), ""asc"")",,,,28-05-2024 21:00:53,28-05-2024 21:00:55,2.220s,PASSED
"click(findWindowsObject(""Object Repository/Window""))",,,,28-05-2024 21:00:55,28-05-2024 21:00:56,0.972s,PASSED
