Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
api,,,,28-05-2024 20:57:07,28-05-2024 20:57:16,9.506s,PASSED
,,,,,,,
Test Cases/ad,,,,28-05-2024 20:57:07,28-05-2024 20:57:15,7.953s,PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,28-05-2024 20:57:09,28-05-2024 20:57:15,6.398s,PASSED
,,,,,,,
Test Cases/api,,,,28-05-2024 20:57:15,28-05-2024 20:57:16,0.517s,PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,28-05-2024 20:57:15,28-05-2024 20:57:16,0.433s,PASSED
,,,,,,,
Test Cases/New Test Case (2),,,,28-05-2024 20:57:16,28-05-2024 20:57:16,0.423s,PASSED
"sendRequest(findTestObject(""ac/New Request""))",,,,28-05-2024 20:57:16,28-05-2024 20:57:16,0.351s,PASSED
