Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkpoint,Chrome 126.0.0.0,,,27-06-2024 20:12:36,27-06-2024 20:35:07,22m - 30.297s,FAILED
,,,,,,,
Test Cases/ac/checkpoint 2,Chrome 126.0.0.0,,,27-06-2024 20:30:05,27-06-2024 20:35:07,5m - 1.685s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 20:30:05,27-06-2024 20:30:06,1.354s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 126.0.0.0,,,27-06-2024 20:30:06,27-06-2024 20:35:07,5m - 0.299s,FAILED
