Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deskstop,,,,28-05-2024 20:50:20,28-05-2024 20:50:28,8.318s,PASSED
,,,,,,,
Test Cases/destops,,,,28-05-2024 20:50:21,28-05-2024 20:50:28,7.736s,PASSED
"startApplicationWithTitle(""C:\Windows\notepad.exe"", ""credentials - Notepad"")",,,,28-05-2024 20:50:22,28-05-2024 20:50:24,2.192s,PASSED
"click(findWindowsObject(""Object Repository/Button""))",,,,28-05-2024 20:50:24,28-05-2024 20:50:25,1.003s,PASSED
"click(findWindowsObject(""Object Repository/Document""))",,,,28-05-2024 20:50:25,28-05-2024 20:50:26,0.806s,PASSED
"setText(findWindowsObject(""Object Repository/Document""), ""asc"")",,,,28-05-2024 20:50:26,28-05-2024 20:50:28,1.967s,PASSED
"click(findWindowsObject(""Object Repository/Window""))",,,,28-05-2024 20:50:28,28-05-2024 20:50:28,0.857s,PASSED
