Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 12:35:46,04-07-2024 12:37:51,2m - 4.406s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:35:48,04-07-2024 12:36:25,37.179s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:35:50,04-07-2024 12:36:04,13.568s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:36:04,04-07-2024 12:36:09,5.109s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:36:09,04-07-2024 12:36:16,7.230s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:36:16,04-07-2024 12:36:25,8.977s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:36:25,04-07-2024 12:36:42,16.616s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:36:26,04-07-2024 12:36:28,1.809s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:36:28,04-07-2024 12:36:35,6.648s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:36:35,04-07-2024 12:36:36,1.460s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:36:36,04-07-2024 12:36:42,5.893s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:36:42,04-07-2024 12:37:06,23.741s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:36:42,04-07-2024 12:36:46,3.554s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:36:46,04-07-2024 12:36:52,5.861s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:36:52,04-07-2024 12:36:54,2.344s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:36:54,04-07-2024 12:37:06,11.735s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:37:06,04-07-2024 12:37:26,20.068s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:37:06,04-07-2024 12:37:08,1.995s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:37:08,04-07-2024 12:37:12,4.113s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:37:12,04-07-2024 12:37:13,1.118s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:37:13,04-07-2024 12:37:26,12.674s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:37:26,04-07-2024 12:37:40,13.828s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:37:26,04-07-2024 12:37:28,1.392s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:37:28,04-07-2024 12:37:33,4.884s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:37:33,04-07-2024 12:37:35,1.831s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:37:35,04-07-2024 12:37:40,5.418s,PASSED
,,,,,,,
Test Cases/aa/New Test Case,Chrome 126.0.0.0,,,04-07-2024 12:37:40,04-07-2024 12:37:51,10.587s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 12:37:40,04-07-2024 12:37:42,2.083s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 12:37:42,04-07-2024 12:37:47,4.763s,PASSED
"setText(findTestObject(""ac/New Test Object (1)""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 12:37:47,04-07-2024 12:37:48,0.931s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 12:37:48,04-07-2024 12:37:51,2.619s,PASSED
