Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
abc,Chrome 126.0.0.0,,,23-06-2024 18:11:54,23-06-2024 18:13:54,2m - 0.217s,PASSED
,,,,,,,
Test Cases/tets1,Chrome 126.0.0.0,,,23-06-2024 18:12:00,23-06-2024 18:13:54,1m - 53.847s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,23-06-2024 18:12:11,23-06-2024 18:13:00,49.186s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,23-06-2024 18:13:00,23-06-2024 18:13:54,53.381s,PASSED
