Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deskstop,,,,19-06-2024 22:32:23,19-06-2024 22:41:54,9m - 30.961s,PASSED
,,,,,,,
Test Cases/destops,,,,19-06-2024 22:40:24,19-06-2024 22:41:54,1m - 29.365s,PASSED
"startApplicationWithTitle(""C:\Windows\notepad.exe"", ""credentials - Notepad"")",,,,19-06-2024 22:40:24,19-06-2024 22:40:48,23.309s,PASSED
"click(findWindowsObject(""Object Repository/Button""))",,,,19-06-2024 22:40:48,19-06-2024 22:41:07,18.804s,PASSED
"click(findWindowsObject(""Object Repository/Document""))",,,,19-06-2024 22:41:07,19-06-2024 22:41:12,5.923s,PASSED
"setText(findWindowsObject(""Object Repository/Document""), ""asc"")",,,,19-06-2024 22:41:12,19-06-2024 22:41:46,33.499s,PASSED
"click(findWindowsObject(""Object Repository/Window""))",,,,19-06-2024 22:41:46,19-06-2024 22:41:54,7.734s,PASSED
