Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 22:00:37,04-07-2024 22:01:30,53.685s,ERROR
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:00:38,04-07-2024 22:00:50,12.506s,ERROR
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:00:38,04-07-2024 22:00:43,4.779s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:00:43,04-07-2024 22:00:43,0.144s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:00:43,04-07-2024 22:00:50,6.359s,PASSED
"setText(a, ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:00:50,04-07-2024 22:00:50,0.255s,ERROR
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:00:51,04-07-2024 22:00:58,7.784s,ERROR
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:00:51,04-07-2024 22:00:53,1.967s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:00:53,04-07-2024 22:00:53,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:00:53,04-07-2024 22:00:58,5.648s,PASSED
"setText(a, ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:00:58,04-07-2024 22:00:58,0.025s,ERROR
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:00:59,04-07-2024 22:01:06,7.824s,ERROR
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:00:59,04-07-2024 22:01:01,1.951s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:01:01,04-07-2024 22:01:01,0.000s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:01:01,04-07-2024 22:01:06,5.754s,PASSED
"setText(a, ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:01:06,04-07-2024 22:01:06,0.011s,ERROR
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:01:07,04-07-2024 22:01:12,5.518s,ERROR
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:01:07,04-07-2024 22:01:08,1.671s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:01:08,04-07-2024 22:01:08,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:01:08,04-07-2024 22:01:12,3.751s,PASSED
"setText(a, ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:01:12,04-07-2024 22:01:12,0.024s,ERROR
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:01:12,04-07-2024 22:01:22,9.437s,ERROR
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:01:12,04-07-2024 22:01:16,3.615s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:01:16,04-07-2024 22:01:16,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:01:16,04-07-2024 22:01:22,5.688s,PASSED
"setText(a, ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:01:22,04-07-2024 22:01:22,0.026s,ERROR
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:01:22,04-07-2024 22:01:30,8.281s,ERROR
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:01:22,04-07-2024 22:01:25,2.837s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:01:25,04-07-2024 22:01:25,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:01:25,04-07-2024 22:01:30,5.299s,PASSED
"setText(a, ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:01:30,04-07-2024 22:01:30,0.021s,ERROR
