Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
aaaaa,Chrome 125.0.0.0,,,29-05-2024 22:40:41,29-05-2024 22:43:53,3m - 12.823s,PASSED
,,,,,,,
Test Cases/tets1,Chrome 125.0.0.0,,,29-05-2024 22:40:48,29-05-2024 22:43:53,3m - 5.459s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,29-05-2024 22:41:07,29-05-2024 22:42:44,1m - 36.950s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,29-05-2024 22:42:44,29-05-2024 22:43:53,1m - 9.749s,PASSED
