Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deskstop,,,,19-06-2024 22:33:31,19-06-2024 22:42:43,9m - 11.897s,PASSED
,,,,,,,
Test Cases/destops,,,,19-06-2024 22:41:27,19-06-2024 22:42:43,1m - 15.756s,PASSED
"startApplicationWithTitle(""C:\Windows\notepad.exe"", ""credentials - Notepad"")",,,,19-06-2024 22:41:27,19-06-2024 22:41:48,20.265s,PASSED
"click(findWindowsObject(""Object Repository/Button""))",,,,19-06-2024 22:41:48,19-06-2024 22:42:07,19.163s,PASSED
"click(findWindowsObject(""Object Repository/Document""))",,,,19-06-2024 22:42:07,19-06-2024 22:42:16,9.283s,PASSED
"setText(findWindowsObject(""Object Repository/Document""), ""asc"")",,,,19-06-2024 22:42:16,19-06-2024 22:42:36,19.956s,PASSED
"click(findWindowsObject(""Object Repository/Window""))",,,,19-06-2024 22:42:36,19-06-2024 22:42:43,6.817s,PASSED
