Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 22:10:28,04-07-2024 22:15:11,4m - 42.521s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:10:32,04-07-2024 22:11:29,57.221s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:10:35,04-07-2024 22:10:51,16.247s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:10:51,04-07-2024 22:10:52,0.532s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:10:52,04-07-2024 22:10:56,4.721s,PASSED
"setText(findTestObject(""ac/New Test Object""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:10:56,04-07-2024 22:11:29,32.404s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:11:29,04-07-2024 22:12:09,39.679s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:11:29,04-07-2024 22:11:34,4.301s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:11:34,04-07-2024 22:11:34,0.002s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:11:34,04-07-2024 22:11:37,3.550s,PASSED
"setText(findTestObject(""ac/New Test Object""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:11:37,04-07-2024 22:12:09,31.721s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:12:09,04-07-2024 22:12:57,47.051s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:12:10,04-07-2024 22:12:19,9.313s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:12:19,04-07-2024 22:12:19,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:12:19,04-07-2024 22:12:25,6.042s,PASSED
"setText(findTestObject(""ac/New Test Object""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:12:25,04-07-2024 22:12:57,31.609s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:12:57,04-07-2024 22:13:39,42.637s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:12:57,04-07-2024 22:13:02,5.453s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:13:02,04-07-2024 22:13:02,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:13:02,04-07-2024 22:13:08,5.740s,PASSED
"setText(findTestObject(""ac/New Test Object""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:13:08,04-07-2024 22:13:39,31.404s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:13:40,04-07-2024 22:14:25,45.751s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:13:40,04-07-2024 22:13:45,5.703s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:13:45,04-07-2024 22:13:45,0.002s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:13:45,04-07-2024 22:13:53,7.358s,PASSED
"setText(findTestObject(""ac/New Test Object""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:13:53,04-07-2024 22:14:25,32.644s,FAILED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:14:26,04-07-2024 22:15:11,44.746s,FAILED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:14:26,04-07-2024 22:14:31,5.171s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:14:31,04-07-2024 22:14:31,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:14:31,04-07-2024 22:14:39,7.809s,PASSED
"setText(findTestObject(""ac/New Test Object""), ""a"")",Chrome 126.0.0.0,,,04-07-2024 22:14:39,04-07-2024 22:15:11,31.711s,FAILED
