Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
a,Chrome 126.0.0.0,,,04-07-2024 22:20:44,04-07-2024 22:22:18,1m - 34.385s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:20:45,04-07-2024 22:21:11,25.053s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:20:46,04-07-2024 22:20:51,5.036s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:20:51,04-07-2024 22:20:52,0.149s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:20:52,04-07-2024 22:20:58,5.937s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:20:58,04-07-2024 22:21:11,12.959s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:21:11,04-07-2024 22:21:20,8.610s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:21:11,04-07-2024 22:21:12,1.517s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:21:12,04-07-2024 22:21:13,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:21:13,04-07-2024 22:21:16,3.435s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:21:16,04-07-2024 22:21:20,3.582s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:21:20,04-07-2024 22:21:43,23.105s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:21:20,04-07-2024 22:21:23,2.848s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:21:23,04-07-2024 22:21:23,0.002s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:21:23,04-07-2024 22:21:35,12.517s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:21:35,04-07-2024 22:21:43,7.655s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:21:43,04-07-2024 22:21:53,9.726s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:21:44,04-07-2024 22:21:45,1.892s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:21:45,04-07-2024 22:21:45,0.000s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:21:45,04-07-2024 22:21:51,6.051s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:21:51,04-07-2024 22:21:53,1.747s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:21:53,04-07-2024 22:22:03,9.556s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:21:54,04-07-2024 22:21:55,1.820s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:21:55,04-07-2024 22:21:55,0.000s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:21:55,04-07-2024 22:22:02,6.296s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:22:02,04-07-2024 22:22:03,1.382s,PASSED
,,,,,,,
Test Cases/aa/aa1,Chrome 126.0.0.0,,,04-07-2024 22:22:03,04-07-2024 22:22:18,14.914s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 22:22:03,04-07-2024 22:22:10,6.151s,PASSED
println($a - $variable - $variable_0),Chrome 126.0.0.0,,,04-07-2024 22:22:10,04-07-2024 22:22:10,0.001s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/fiction"")",Chrome 126.0.0.0,,,04-07-2024 22:22:10,04-07-2024 22:22:15,5.758s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 22:22:15,04-07-2024 22:22:18,2.927s,PASSED
