Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
checkpoint,Chrome 125.0.0.0,,,28-05-2024 23:23:52,28-05-2024 23:27:12,3m - 20.026s,PASSED
,,,,,,,
Test Cases/ac/checkpoint 2,Chrome 125.0.0.0,,,28-05-2024 23:23:52,28-05-2024 23:27:12,3m - 19.355s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,28-05-2024 23:23:53,28-05-2024 23:24:05,11.676s,PASSED
"navigateToUrl(""https://academy.katalon.com/"")",Chrome 125.0.0.0,,,28-05-2024 23:24:05,28-05-2024 23:24:32,26.585s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 1"")",Chrome 125.0.0.0,,,28-05-2024 23:24:32,28-05-2024 23:24:38,6.221s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 2 "")",Chrome 125.0.0.0,,,28-05-2024 23:24:38,28-05-2024 23:24:40,2.211s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 3"")",Chrome 125.0.0.0,,,28-05-2024 23:24:40,28-05-2024 23:24:46,6.302s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 4"")",Chrome 125.0.0.0,,,28-05-2024 23:24:46,28-05-2024 23:24:52,5.753s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 5"")",Chrome 125.0.0.0,,,28-05-2024 23:24:52,28-05-2024 23:24:56,3.477s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 6"")",Chrome 125.0.0.0,,,28-05-2024 23:24:56,28-05-2024 23:25:02,5.943s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 7"")",Chrome 125.0.0.0,,,28-05-2024 23:25:02,28-05-2024 23:25:05,3.585s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 8 "")",Chrome 125.0.0.0,,,28-05-2024 23:25:05,28-05-2024 23:25:09,4.318s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport9"")",Chrome 125.0.0.0,,,28-05-2024 23:25:09,28-05-2024 23:25:13,3.908s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport 10"")",Chrome 125.0.0.0,,,28-05-2024 23:25:13,28-05-2024 23:25:20,6.803s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport11"")",Chrome 125.0.0.0,,,28-05-2024 23:25:20,28-05-2024 23:25:26,5.750s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport12"")",Chrome 125.0.0.0,,,28-05-2024 23:25:26,28-05-2024 23:25:33,6.577s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport13"")",Chrome 125.0.0.0,,,28-05-2024 23:25:33,28-05-2024 23:25:36,3.839s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport14"")",Chrome 125.0.0.0,,,28-05-2024 23:25:36,28-05-2024 23:25:41,5.056s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport15"")",Chrome 125.0.0.0,,,28-05-2024 23:25:41,28-05-2024 23:25:49,7.107s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,28-05-2024 23:25:49,28-05-2024 23:25:53,4.688s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport17"")",Chrome 125.0.0.0,,,28-05-2024 23:25:53,28-05-2024 23:26:00,7.153s,PASSED
"takeScreenshotAsCheckpoint(""current_viewport16"")",Chrome 125.0.0.0,,,28-05-2024 23:26:00,28-05-2024 23:26:10,9.707s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,28-05-2024 23:26:10,28-05-2024 23:27:12,1m - 1.691s,PASSED
