Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
deskstop,,,,28-05-2024 20:59:17,28-05-2024 20:59:25,8.617s,PASSED
,,,,,,,
Test Cases/destops,,,,28-05-2024 20:59:17,28-05-2024 20:59:25,8.226s,PASSED
"startApplicationWithTitle(""C:\Windows\notepad.exe"", ""credentials - Notepad"")",,,,28-05-2024 20:59:18,28-05-2024 20:59:20,2.510s,PASSED
"click(findWindowsObject(""Object Repository/Button""))",,,,28-05-2024 20:59:20,28-05-2024 20:59:21,1.220s,PASSED
"click(findWindowsObject(""Object Repository/Document""))",,,,28-05-2024 20:59:21,28-05-2024 20:59:22,0.905s,PASSED
"setText(findWindowsObject(""Object Repository/Document""), ""asc"")",,,,28-05-2024 20:59:22,28-05-2024 20:59:24,2.082s,PASSED
"click(findWindowsObject(""Object Repository/Window""))",,,,28-05-2024 20:59:24,28-05-2024 20:59:25,1.002s,PASSED
